system:index,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,CVEGEO,CVE_ENT,CVE_LOC,CVE_MUN,POBTOT,area_sqkm,log_POBTOT,.geo
000000000000000025f6,0.040949047728300554,-0.22294575000541358,0.10368641234867805,0.13109625290074986,-0.036105299464774476,-0.18300653883632906,0.04712924762951591,-0.04865457490270041,-0.23325566693068475,-0.07656365153922469,0.10713306629068398,-0.02300514691109756,-0.2197690477328289,-0.06049541778905069,-0.04197970872619813,-0.07281453239836763,-0.028630814315658865,0.012423023807939058,0.12687254170221027,-0.13675240050547188,0.04149593443371988,0.06021885432159812,0.03316931803786278,-0.16532799271888834,-0.21575801142645304,0.02364362248677947,0.03220397358566032,0.08077305688610442,-0.10012707408052933,0.08876155943626556,0.05365980586923922,-0.028910263785536655,-0.0071670192183728495,-0.11106157281401945,0.1315799030640241,-0.057983377577304714,-0.09338386166289533,-0.05263715745427581,-0.14470599074950447,-0.06951890568895007,0.030313851740687858,-0.08363080745324193,-0.17600887333045978,-0.04323119027560331,-0.006772681320859404,0.0659394228697749,-0.029501393195370037,0.0460351039131202,-0.06805347668076163,-0.093022752608653,0.0640589791324155,0.21248526761969555,-0.19646116222976184,-0.005222030814761738,0.1642553820461742,-0.011128585488403757,-0.09837306053588891,-0.02304367565808633,-0.10968760743395974,-0.2399833378442994,0.054069808918540005,-0.08084852889882624,-0.07436493884768043,0.0351274882651478,010110151,01,0151,011,,3.5231,,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000266c,0.0990715891249721,-0.09783735453338668,0.16240489276460546,0.02889655592675663,0.10620223637146442,0.09246189027025098,0.10471317804618821,-0.0577841024068197,5.339013043375828E-4,-0.09438237431974877,1.2668962731676858E-4,-0.205241518910667,-0.13570012185959165,-0.13172123486215262,0.05578459669742342,0.07966767367144244,-0.1522260476960167,-0.008990525317348407,-0.10050308467446681,-0.1817042779965499,-1.4319159575785167E-4,0.0526258713390261,-0.05671201233319892,0.049037661076983804,0.013622421792214496,0.036205340953190286,0.04829386136675839,0.052452936822484565,0.157159182573986,0.06214473151672385,0.2104159789669925,-0.17553463004834188,0.15174769621804504,-0.17206959174567543,-0.152499444209159,0.06654259178898683,0.10992985836110755,0.09615511790095223,-0.1663502289141932,-0.03257947690135642,0.21125165115963318,-0.29477213696083343,0.09261332817374432,-0.1454063442237131,0.1623395801811338,0.1411774367976145,0.004036603383865977,-0.0356058047842217,-0.17506922133734137,-0.18792658237431067,-0.07249900977161977,0.023944630614622608,-0.0038489082951131035,-0.010022349586095648,0.0022415160324498373,-0.2020009639404893,0.023788765110155624,-0.13638896145614762,-0.06848216223867179,-0.056864433249711764,0.17781598672183394,0.07899789400141217,0.21060121089556078,0.05483542985758073,020015846,02,5846,001,,0.1299,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002688,0.15512235925272408,-0.048967658662587704,0.16371331064331757,0.06736869388484369,-0.0701274367936748,-0.17137312407051686,0.08827830562415455,0.020687756358213377,-0.32200534026376126,-0.05130767799634664,0.13150968634316615,0.09097087418699457,-0.18088713763906442,-0.07174722752639652,0.015852877407953447,-0.07347482373669446,0.1658042982319503,0.019435476399648627,0.17082192373354815,-4.0446205307377394E-5,0.025964018222181327,-0.16189924263851516,-0.24069431329845506,-0.1472170373673615,-0.09151887854665666,0.02090033975493071,-0.03981602139641205,-0.01736533360967445,0.07723752780980973,0.11232144557856683,0.13171503041245766,-0.12350923132592893,0.04823759842551533,-0.17416045689883095,-0.07395777193535444,0.1425113115791064,-0.1698618272973978,0.08283967204504808,-0.2073112475392302,-0.07783444771911252,0.14620638588090723,-0.13266855641025696,0.040380918548921216,-0.12463410784468894,-0.009596720071814935,0.11441693238895072,-0.0339327041621501,0.06943904231134998,0.017931232776175633,0.007472626254029919,-0.08015273189321177,0.07360048948741404,-0.07295514322601489,-0.13680951146080284,0.08333154809890733,0.013383559575427684,0.01239276899040864,-0.039152393747598,0.03324078912155877,-0.11016977168352414,0.07174852079543725,-0.08140421220882454,-0.14201360675617875,0.097067439278501,020024992,02,4992,002,,0.4597,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002689,0.15049130796602642,0.011093867475102675,0.19862475212354394,0.07902973999070956,-0.08667874165538758,-0.08603467390588208,0.09958922037240472,0.06721537731514063,-0.34837902815187843,-0.05911586475761341,0.19265764334026736,0.11918889098537148,-0.20416139210559897,0.033059282824334825,0.07677409872516118,0.03230425454829499,0.0643712470611457,0.005475957284951849,0.23229839754175932,0.01209769383679301,-0.0011573467697046185,-0.1485541641016389,-0.16778631453203385,-0.150931136808136,-0.061412993904137625,0.04484590574336718,-0.019102989679252454,-0.06461092983610298,0.1437545800635078,0.0763864715452235,0.129096407439315,-0.11673099316036052,0.013210851746594992,-0.1796068634245972,-0.12574198599628875,0.2078163114439506,-0.08934994635286207,0.0740716868154757,-0.22698772121775102,-0.023156560837211664,0.17590530675741065,-0.11159770099472786,0.09080982632401677,-0.14665393720944123,-0.03425056290280832,0.06021795501657898,0.02377032277516795,0.11063249260234488,0.09801172336897171,-0.020209170611229656,-0.07906523476037434,-0.010404198221207743,0.0016443040125729692,-0.14943481609953052,0.049393564884156985,0.01098888627852383,0.0397576945581121,-0.07573784122242849,0.01528609879460658,-0.11301807026483039,0.08571322051515122,-0.03629244662334599,-0.07168386745995656,0.04004337177279448,020024995,02,4995,002,,0.3703,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002738,0.06740093643943496,-0.09171100413168197,0.0844003770618845,0.07113439809103077,-0.01777291923631068,0.017018728022528982,0.05657235419120427,0.0027128612623924116,-0.02914494338794681,-0.13078658146371785,0.11109789911480275,-0.07503171865594192,-0.20260098999410187,-0.10395189660065923,0.0846234636062902,0.05904742475867986,0.05051879222328286,0.09022120624028925,-0.11975961640746147,-0.05016291275647913,0.06255699519910188,0.09042839499565648,-0.04868005018488618,0.0705433082076187,-0.06148422932800352,0.12937605661061896,-0.01717372584528655,0.10457576488392041,0.14165824753042347,0.2305806545866068,0.22738477862892684,-0.0817148977994332,0.17980276475410373,-0.15582313599408454,-0.11114153521379047,0.14409687564346732,-0.026022163155885025,0.09560394717363707,-0.2885879158399248,0.1491561350216733,0.19405851905667704,-0.36159204136634054,0.016862297748703185,-0.12758450740861166,0.11854859207294903,0.02672694562437006,0.022714129291238113,0.07174517961671004,-0.0441816783267659,-0.009952443085832263,-0.032965519018906965,0.052533558192519966,0.0011017580529329365,-0.04197134948871023,-0.006739902424239182,-0.2816419334631303,0.05123061478367724,-0.10256847506217354,-0.1715461715164343,0.054930196019470676,0.1559079751037185,-0.04449461480238352,0.08868951986566272,0.08754334225590307,020041925,02,1925,004,,0.0485,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002743,0.10224045697853855,-0.10850881859232014,0.10509303672337433,0.07192740920427536,-0.032461399418436246,-0.09610265895102486,0.09822039698873745,0.001330682025510364,-0.13022630862211979,-0.08688509239275947,0.12489701615920441,-0.003403970554124589,-0.2000152427307711,-0.1432009108996504,0.009470689204464642,-0.016467507662009,0.12405910401065148,0.049941924038421584,-0.07137165921127851,0.032384677879794856,0.06842943221439354,-0.05069026161467649,-0.10136422094645817,-0.06599981568386047,-0.056149280627506806,0.046048469663786874,-0.03316053837156215,0.0976150399902954,0.052932359874504786,0.21615977737417086,0.20912901841912865,-0.0512539258029423,0.18444634179720412,-0.12746266156036185,-0.06293194017350824,0.10055361771394947,-0.11161554253965639,0.04744430753937733,-0.2476272615071572,0.08514352920620873,0.11093263639238765,-0.24864104063806622,-0.007717070459823179,-0.09151605043864082,0.048352056739964434,0.1341015857800904,0.008573912608200548,0.0643375529842939,-0.04327393461484315,-0.07485024726710403,-0.04582178213886869,0.13470048286978104,-0.04573244795202677,-0.03637418649767544,0.02903389288989649,-0.2160737855096225,0.06582308513358495,-0.09800830692068599,0.03010569659339678,-0.017535753078446945,0.08631118261604885,-0.09560584553957373,0.007715154145545062,0.07281548788681304,020042017,02,2017,004,,0.5657,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002766,0.07683566792377841,-0.2272709192335885,0.1044791562952059,0.05785002572015469,-0.0074651297875783776,-0.10719718826576612,-0.008222984835594967,0.01710664383866782,-0.15890137714204153,-0.0146798520955487,0.07774400904918888,-0.029155453315644664,-0.19473957718654097,-0.18325159223412357,-0.07095328337434074,-0.13795262442752196,0.19999114456119418,0.09283575950230825,-0.0680264865269145,0.0374907858715002,0.09096614281099358,0.07169769038862395,-0.0984385544585352,0.020025075602475864,-0.0984382264160405,0.1282954856440617,-0.06303952130398938,0.15090992196561,0.0825996325496919,0.1557625179072545,0.09518143248725282,-0.1334696059445058,0.07329617141518846,-0.21560240497862573,0.05465643977103488,0.07028490875100767,-0.02773027611396588,0.06166493953147414,-0.2763005434784233,0.10035864527163266,0.05872332951514079,-0.3056044992395009,-0.01916586738343951,-0.018937761667815866,0.06024194415409695,0.16709891818163125,-0.09850143439570837,0.06897070388308764,0.05244906574309033,0.03292453173108492,-0.11865044855326212,0.23239359495320283,-0.0397343744240302,-0.020030664284770575,0.01083141815034349,-0.2234914237603826,0.09978137078280114,-0.06838477727345518,-0.10418139280607075,0.053800016496095227,0.1820590620863562,-0.11984954296803534,-0.05932738559827665,0.1333669508548346,020050011,02,0011,005,,0.0121,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002830,0.04713908574937144,-0.20036758430044982,0.12646279828734464,-0.07000547758312352,0.02950769098592245,-0.18024817682796354,0.020319740648994618,0.07497549048404903,-0.04661324821324282,-0.022612141669267255,0.04521792402809532,-0.02235396804092493,-0.30916697717567193,0.016303319602745673,0.02897993794673156,-0.036443017400806486,-0.18490597010178034,0.054178474724782044,-0.09717243672800176,-0.08382883229277681,-0.2080991235360174,0.10179246915793545,0.16578631270160513,-0.17576699041770813,-0.09947708947296033,0.007677498151498069,-0.02164706171091375,0.113566911976076,-0.10254366243479013,-0.016889169579507632,0.04276802110641095,0.08006899497046822,-0.09805526493571334,0.03548836182144991,0.06553473766800061,-0.057699587716839675,0.08580217764991588,-0.0017440698385781717,0.03929069867682391,-0.15121663732976656,0.032517806368719024,-0.21362197992460033,-0.17242351330384598,0.2470388127272152,0.054814491161555345,0.010615755138626481,-0.10092162543827364,0.07047061646408365,-0.1556948727717857,-0.11497091674437629,0.10686915708788411,0.024550575785138563,0.05453045424868092,-0.008412699926600533,0.11584251609866486,-0.12061966370480907,-0.08803707487508246,0.03839259344140167,-0.17339356324929822,-0.2642917696967567,0.16666391812250325,-0.14476126392055244,-0.03849759225166112,-0.16855617098309925,060030427,06,0427,003,,0.0732,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002849,-0.006722285498000499,-0.17060478678751026,0.1533980249292463,-0.10752716149862086,-0.011032181839651914,-0.1449552242215094,0.013943503396681699,0.07830993038894037,-0.061049241024422746,-0.023962446737922815,0.04015080272479493,0.04476720360877099,-0.30046456393803894,0.015246043463012072,0.06132547691549182,0.009902886561625262,-0.11897982481323782,0.012814942752247725,-0.10189839271660633,-0.11884727038688554,-0.26295115315216716,0.157664627923433,0.15810702983234454,-0.12968801227166887,-0.08531816768451776,-0.02039398772849777,-0.030528934082117938,0.1307525084987279,-0.11354031376693177,-0.005630170065810345,0.04678235962395966,0.049710043972824185,-0.028885303956376285,-0.00694959542715441,0.03404635750020929,-0.05353006280890874,0.1002971396715449,0.036262941230912865,0.0757789754211417,-0.11916860602985882,0.06999340263294855,-0.17043144129483837,-0.14052555838119477,0.2596372576280474,0.07120016331579873,0.002068674509225746,-0.06641365115361576,0.027484704918672467,-0.10232019422886234,-0.08535633408370405,0.07982020037397326,0.05141922207869875,0.04932092642823656,-0.026943945975696795,0.13792130890072254,-0.07376179372331398,-0.07559339164759542,0.0013142235201490412,-0.21274066875459022,-0.24161312535927829,0.19482735234967613,-0.20976610731704573,0.03053678362220095,-0.15242514990069342,060050498,06,0498,005,,0.2836,,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000303a,-0.01253863129951181,-0.22782460055537357,0.11673901466653173,0.10887701631064627,-0.08124300859900146,-0.1460391397337828,-0.029649297252585773,0.01690035321102456,-0.11103713267428825,-0.10330220794513889,0.18120296592923413,-0.04902384986944752,-0.28244944258923343,-0.0283415767668269,0.040267906977289436,-0.013522573133791195,-0.1542937051277905,-0.0014467242719263908,0.05280581768777336,-0.13518109939322617,-0.048237897564776935,0.16082090378384334,0.1245124570737202,-0.13349614940153995,-0.20144606749346272,-0.0258522769670234,0.03735333952842293,0.05293686737376763,-0.12121112725012721,0.04087936368494031,-4.431119278331427E-4,-0.016906447489852615,-0.048557094773162605,-0.11489328062414986,0.11029471929617539,-0.02138531514910075,-0.0030322073385583488,-0.02656689029738515,-0.018356933826597706,-0.06665469128999243,-0.01616432022869063,-0.06026063357919037,-0.22011138235355926,-0.011235720563250269,-0.03961409835533901,-0.013575768305615953,0.0012408430765570456,0.04327574390391656,-0.11561835025078747,-0.1074167631473065,0.11212109409560518,0.2547601064158182,-0.07771292943500864,0.011097539335794474,0.13344630217724976,0.09893415471442728,-0.07622482467638327,-0.05491623026480699,-0.2115565401183573,-0.3417814386979888,0.05224738785793157,-0.09905349092656845,0.01682061042283643,0.03312522537682781,110010616,11,0616,001,,0.912,,"{""type"":""MultiPoint"",""coordinates"":[]}"
